Item,Function,Quantity,Description,PartNumber,Vendor
1,ARDUINO,2,CONN HDR VERT 50POS .100 SNGL,SAM1055-50-ND,digikey
2,ARDUINO,1,CABLE USB A-B MALE 1M 2.0 VERS,AE1462-ND,digikey
3,POWER,1,POWER SUPPLY SWITCHER 101W 24V,271-2731-ND,digikey
4,POWER,1,LINE CORD 3 COND US,993-1039-ND,digikey
5,DISPLAY,1,LCD SERIAL 4X20 SIDE WHT BKLT,NHD-0420D3Z-NSW-BBW-V3-ND,digikey
6,DISPLAY,1,01x03 .100 SR STRAIGHT,609-3461-ND,digikey
7,DISPLAY,1,Jumper Wire - 0.1in 3-pin 4in,PRT-10363,sparkfun
8,ENCODER_C14,1,ENCODER OPT 32PPR DET CABLE TYPE,102-1914-ND,digikey
9,ENCODER_C14,1,KNOB CLR/MATTE.50 DIA .250 SHAFT,226-3100-ND,digikey
10,MFC,2,ASSEMBLED D-SUB CABLE 15-POS,277-7325-ND,digikey
