Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,ARDUINO1,ARDUINO_MEGA,1,ARDUINO MEGA 2560,1659-1001-ND,digikey
2,C1 C2 C3,10uF,3,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
3,C4 C5 C6 C7,0.1uF,4,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
4,D1,diode_schottky_45V_10A,1,DIODE SCHOTTKY 45V 10A CFP15,568-11697-1-ND,digikey
5,L1 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L2 L20 L21 L22 L23 L24 L25 L26 L27 L28 L29 L3 L30 L31 L32 L33 L4 L5 L6 L7 L8 L9,LED_24V,33,LED 2MM 24V VERTICAL RED PC MNT,350-1723-ND,digikey
6,P1,PWR_JACK_2.5x5.5,1,CONN PWR JACK DC 2.5X5.5 8A T/H,CP-063BH-ND,digikey
7,P10 P11 P8 P9,HEADER_02X08_SMD,4,CONN HEADR 2.54MM 16POS GOLD SMD,S9187-ND,digikey
8,P2 P3 P4 P5,HEADER_01X03_SMD_RA,4,CONN HEADER 3POS R/A SMD GOLD,A100890CT-ND,digikey
9,P6,HEADER_01X02_SMD_RA,1,CONN HEADER 2POS R/A SMD GOLD,A100903CT-ND,digikey
10,P7,BNC_DOUBLE_RA,1,CONN BNC JACK R/A 75 OHM PCB,ACX1655-ND,digikey
11,REG1,CONV_DC_DC_9V_1A,1,CONV DC/DC 1A 9V OUT SIP VERT,945-1396-5-ND,digikey
12,SW1,SPST_SLIDE_AS,1,SWITCH SLIDE SPST 0.4VA 28V,360-2610-ND,digikey
13,U1 U2 U3 U4,TLE7230R,4,IC SW SMART OCTAL LOWSIDE PDSO36,TLE7230RCT-ND,digikey
